date,MKT,SMB,HML,UMD,rf,smb_equal,hml_equal,umd_equal,RMW,CMA,rmw_equal,cma_equal
20040601,-0.11781212,-0.018215398,0.003232322,0.024987786,0.001635,-0.008494237,0.007907837,0.014574641,0.046115878,-0.017466145,0.03830861,-0.018196274
20040701,-0.002368139,-0.047252008,0.007277162,0.039570235,0.001635,-0.048711739,0.007985245,0.052148707,0.0361058,-0.018719509,0.04452619,-0.008333624
20040801,-0.046081492,-0.00069957,0.023232735,0.011853863,0.001635,0.008425601,0.023547717,-0.006843167,0.022014574,-0.005348009,0.008838419,-0.005604728
20040901,0.055470009,-0.021607261,-0.001861831,0.028200502,0.001635,-0.019844558,-0.002689533,0.024607233,0.039974609,-0.042232689,0.032837707,-0.027779144
20041001,-0.055285995,-0.035751565,-0.006068184,0.070172703,0.001856,-0.03636181,-0.000406289,0.075269727,0.042274982,-0.027231347,0.050921753,-0.038442808
20041101,0.022449002,0.040847569,-0.003169636,-0.076970194,0.001856,0.034597776,-0.008820545,-0.080682088,-0.051170427,0.011667852,-0.053090651,0.016434888
20041201,-0.070649653,-0.021369973,0.004791416,0.053291908,0.001856,-0.008975856,0.001835511,0.040000624,0.038979294,-0.027507977,0.023887762,-0.019895974
20050101,-0.059441081,-0.011125123,-0.003726174,0.008443056,0.001856,0.004704769,-0.008144525,-0.004183801,0.027380585,-0.013009866,0.004619634,0.004033128
20050201,0.093392464,0.012753471,0.009082149,-0.038231484,0.001856,-0.000164035,0.001088931,-0.02342206,-0.014275869,-0.0126543,-0.003886498,-0.006398272
20050301,-0.107158416,-0.025123379,0.00110529,0.085321834,0.001856,-0.009249288,-0.000694027,0.050788157,0.056547171,-0.030502335,0.037187285,-0.017991021
20050401,-0.038247142,-0.049412492,0.026097702,0.085696139,0.001856,-0.040696613,0.015101236,0.099577074,0.076353509,-0.021764929,0.059296489,-0.011180801
20050501,-0.071624266,0.039294185,-0.01408165,-0.112093678,0.001856,0.027458088,-0.001811616,-0.093554068,-0.067923664,0.037251192,-0.048699811,0.021423426
20050601,0.007557925,-0.017135799,0.000241218,0.0452856,0.001856,-0.001383004,0.008099467,0.031167775,0.038607404,-0.000028072,0.021250331,-0.01821133
20050701,-0.021646262,-0.083741227,-0.001992934,0.100661887,0.001856,-0.051807897,-0.006738038,0.078394088,0.085228151,-0.04821639,0.053629248,-0.038373565
20050801,0.088256271,0.111117962,-0.01303992,-0.153224248,0.001856,0.082915603,-0.012381801,-0.140376371,-0.108049169,0.05004205,-0.076172189,0.059913618
20050901,0.005055211,0.022392604,-0.017468322,-0.007208358,0.001856,0.009854514,-0.031516797,0.012302899,0.005518296,-0.011279694,0.006531561,-0.007735381
20051001,-0.055490089,-0.01576034,-0.010681784,0.042018179,0.001856,-0.014005675,-0.008719914,0.035601289,0.019448327,-0.016556986,0.022206545,-0.019265044
20051101,-0.005967713,0.035894151,0.013486205,-0.049206108,0.001856,0.033757078,0.012133145,-0.050056402,-0.029447597,0.011030296,-0.025794053,0.01204318
20051201,0.050333511,-0.055845229,0.014249437,0.037216304,0.001856,-0.048065774,0.007376433,0.033510148,0.041570139,-0.040634145,0.04348485,-0.034687153
20060101,0.094059585,-0.0243118,0.017890832,0.015463366,0.001856,-0.046886327,0.01400877,0.029059926,0.003786806,-0.032303802,0.028365111,-0.038618691
20060201,0.027767026,0.001217118,0.015528741,-0.0277723,0.001856,0.017863524,0.023384141,-0.061932677,0.004905377,-0.007315155,-0.021574905,0.021166911
20060301,0.018882999,-0.020187539,-0.00388034,0.091223711,0.001856,-0.027383045,-0.002227045,0.078609863,0.030613245,-0.036058363,0.054159545,-0.031087622
20060401,0.111597413,-0.047617275,-0.001760774,0.089520237,0.001856,-0.063776155,0.026007978,0.118525469,0.004622147,-0.011066904,0.049324459,-0.053114444
20060501,0.209750472,0.081507857,0.026935967,-0.090705414,0.001856,0.063509895,0.018699009,-0.122071267,-0.109722357,0.051170067,-0.085589833,0.058260441
20060601,0.04319958,0.031761653,0.011504104,-0.033875357,0.001856,0.021096527,0.025996182,-0.045164773,-0.022352171,0.044492685,-0.020784363,0.04126912
20060701,-0.056830078,0.058127912,-0.002919451,-0.005287413,0.001856,0.051993178,0.00202447,-0.019599649,-0.031236023,0.02494249,-0.033717657,0.040640572
20060801,0.030147268,-0.007378182,-0.006413585,0.017409506,0.002076,-0.011822103,-0.008335311,0.019774948,-0.000655349,-0.007985091,0.0004169,-0.001011563
20060901,0.039763511,0.02529122,-0.019467385,-0.006896949,0.002076,0.025277731,-0.026399119,-0.020222258,-0.02243544,0.014628167,-0.036050064,0.021870508
20061001,0.012598945,-0.019977484,0.012920512,-0.022386601,0.002076,-0.007614943,0.014009118,-0.00429958,0.04655449,-0.016397836,0.031415401,-0.019172512
20061101,0.108388587,-0.116265669,-0.010197309,0.054211342,0.002076,-0.070670771,-0.00581884,0.062643084,0.117087925,-0.080120959,0.076140122,-0.044050865
20061201,0.115284536,-0.094675107,0.010895051,0.077173415,0.002076,-0.049289208,0.002270755,0.066019478,0.083869079,-0.029946315,0.052865693,-0.022369193
20070101,0.207834738,0.057608567,-0.002530154,-0.063349234,0.002076,0.016098011,0.004352369,-0.029718652,-0.072868822,0.029077509,-0.028806286,0.038138831
20070201,0.127176968,0.09654365,0.077530568,-0.10443317,0.002076,0.061732955,0.073272134,-0.09088276,-0.127440939,0.104553613,-0.105968552,0.058547072
20070301,0.1242808,0.108685274,0.030173522,-0.056306451,0.002296,0.098442235,0.017794436,-0.06654249,-0.080182665,0.033743817,-0.083688588,0.069457723
20070401,0.315275049,0.052307008,0.101119856,0.102506149,0.002296,0.032634919,0.120551891,0.051242447,-0.114691981,0.045455444,-0.083210659,0.050961894
20070501,0.109696902,-0.029421254,-0.000713137,0.005678186,0.002515,0.007339325,-0.020477794,-0.00317377,0.03301154,-0.037220128,-0.008794321,0.019091545
20070601,-0.109027754,-0.112613611,-0.076029196,-0.006454284,0.002515,-0.077066564,-0.060877995,0.012179687,0.179337256,-0.070659186,0.147456762,-0.073309094
20070701,0.197901995,0.080856095,0.037349402,-0.022269906,0.002734,0.075892941,0.047616768,-0.081258696,-0.047078943,0.021901985,-0.044232722,0.017642806
20070801,0.135723323,-0.02384085,0.008735107,0.007463373,0.002952,-0.000777415,0.004678812,-0.033973354,0.022543011,-0.012512811,-0.010470998,0.014166915
20070901,0.050078975,-0.011810581,0.042499268,0.028716814,0.003169,-0.003781655,0.018756962,0.016717697,0.045085792,-0.008437858,0.026530766,-0.00948594
20071001,-0.05288482,-0.070804133,-0.061431588,0.078020784,0.003169,-0.02863602,-0.027530426,0.04175729,0.122501536,-0.088726346,0.07079068,-0.04016719
20071101,-0.142210281,0.098120062,0.035959046,-0.128893269,0.003169,0.076947561,0.004532656,-0.126284165,-0.098577123,0.074911347,-0.078896569,0.045405766
20071201,0.181226456,0.02362576,0.006387137,-0.024781847,0.003386,-0.000548854,-0.011129282,-0.00150944,-0.03520177,0.036200528,-0.004374434,0.009719337
20080101,-0.093652304,0.038260902,0.003232439,-0.022530087,0.003386,0.011595358,-7.06E-06,-0.037369908,-0.026229934,0.017921976,-0.01114089,0.003869212
20080201,0.045114996,0.077969187,0.04454619,-0.039158839,0.003386,0.055923008,0.045339695,-0.02217393,-0.045526733,0.047992531,-0.043204904,0.022770934
20080301,-0.200782249,0.021025191,-0.015730529,-0.01616481,0.003386,0.029350608,0.003252449,-0.0348268,-0.000109626,-0.016170755,-0.010846379,0.011746441
20080401,-0.02236899,-0.065463351,0.006079739,0.030803166,0.003386,-0.051805913,-0.002258743,0.04923345,0.051004329,-0.029936047,0.049662847,-0.024935248
20080501,-0.058909795,0.038862828,0.020126806,-0.017635891,0.003386,0.030097234,0.009618469,-0.034416509,-0.012865156,0.012855895,-0.02639161,0.012955888
20080601,-0.241360243,-0.015407199,-0.037614112,0.017505815,0.003386,-0.005702442,-0.023000368,0.008998721,0.015731929,-0.024212715,0.014331828,-0.010235773
20080701,0.044527042,0.081672915,0.005961863,-0.041937738,0.003386,0.056593921,0.012711297,-0.040940424,-0.040004457,0.042387486,-0.031233319,0.024949594
20080801,-0.218656255,-0.013545579,0.01728463,-0.025151401,0.003386,0.005250987,0.029209016,-0.025336918,0.019065699,-0.020659367,-0.007783936,0.008166512
20080901,-0.04249161,-0.071234985,0.04688006,-0.035291825,0.003386,-0.041907581,0.024767147,-0.032496817,0.020612803,-0.016799817,0.018486288,-0.024612005
20081001,-0.274331802,0.022323224,0.013091874,0.021070239,0.002952,0.02235812,0.01523461,0.00744851,-0.014357089,0.05168412,-0.01601253,0.040810194
20081101,0.165241501,0.044567774,0.000292423,-0.038410102,0.002076,0.03134362,-0.001483342,-0.066469216,-0.020089,-0.024083235,-0.022719394,-0.009764602
20081201,0.005643732,0.07235989,-0.058976029,0.00040353,0.001856,0.040831103,-0.074723611,-0.025503936,-0.04630574,0.013116292,0.000235926,-0.000294801
20090101,0.130219653,0.027051232,0.004848963,-0.142251022,0.001856,-0.010132592,0.000130431,-0.076194937,-0.031878909,-0.023953556,0.009079064,-0.028182711
20090201,0.061095644,0.028254401,0.017955173,-0.045256221,0.001856,0.009757142,0.022972511,-0.07642151,-0.045194532,0.041673605,-0.027414137,0.027866983
20090301,0.187635003,0.05217521,-0.01639017,-0.073736514,0.001856,0.031809232,-0.020955454,-0.079007644,-0.046037004,-0.021712243,-0.013535067,-0.013031959
20090401,0.059806211,0.014331332,-0.00168263,-0.005136637,0.001856,0.023112602,0.011956768,0.001104264,-0.006533371,0.003821445,-0.008348655,-0.002153226
20090501,0.049691897,0.03798769,-0.001856606,-0.02235742,0.001856,0.02755516,0.000751503,-0.032912626,-0.017630036,-0.008201492,-0.027141884,0.011661613
20090601,0.082614886,-0.024387387,-0.008056188,-0.014335983,0.001856,0.009699997,-0.002523428,-0.012310495,0.052320035,-0.020594129,-0.003311791,0.012189436
20090701,0.169555793,-0.035672218,0.084122007,-0.077293851,0.001856,-0.019839045,0.047485505,-0.052045575,-0.036888795,-0.0034486,0.014562049,-0.018630565
20090801,-0.1915674,0.039172197,-0.061528436,-0.073585712,0.001856,0.021512986,-0.041488434,-0.039845823,-0.004615305,0.018638927,0.000701421,0.012273052
20090901,0.039082791,-0.011296614,-0.018893032,0.018715832,0.001856,-0.003859576,-0.011857785,-0.002802537,0.040699327,-0.028879812,0.0190771,-0.01393487
20091001,0.100346366,0.027308847,0.01615753,0.066440345,0.001856,0.010540267,0.012996315,0.026402289,-0.025083259,0.033671814,-0.009830594,0.009070618
20091101,0.109303432,0.048207598,-0.00422387,-0.002719784,0.001856,0.019432742,0.009481783,-0.038818795,-0.01351522,0.049686753,-0.005188304,0.013607279
20091201,0.024465123,0.0179988,0.032925624,-0.053840869,0.001856,0.030554536,-0.000409439,-0.028254436,-0.016169776,0.012084953,-0.004933634,0.006054447
20100101,-0.077343947,0.062524449,-0.041583916,-0.061167426,0.001856,0.022223777,-0.020697649,-0.031278243,-0.022553065,0.038531411,-0.015475495,0.018738965
20100201,0.037450669,0.037840643,0.007828525,0.03073417,0.001856,0.021249818,0.010634151,0.005928936,-0.034178768,0.034303587,-0.025834877,0.021203262
20100301,0.013773378,0.033623698,-0.00008108,-0.003885948,0.001856,0.032134291,0.0026056,-0.009805459,-0.006856865,0.017282981,-0.014105529,0.018479505
20100401,-0.079242228,0.007580053,-0.042527322,0.05526712,0.001856,-0.005938564,-0.039715198,0.00778744,0.012136124,0.006780399,0.030660801,0.004060302
20100501,-0.089008375,0.004503362,-0.051872486,0.062624693,0.001856,0.002374437,-0.03857198,0.05649013,0.0345909,-0.006740897,0.016277487,-0.011627642
20100601,-0.092482431,-0.00966492,-0.006916041,-0.028648327,0.001856,0.002770901,-0.004522017,-0.018705555,-0.000859063,-0.007956254,0.006266763,0.003572192
20100701,0.144607793,0.023376162,0.006378089,-0.032952017,0.001856,0.020446992,0.020324955,-0.04915276,-0.01232123,0.006718259,-0.005941703,0.000817229
20100801,0.055639933,0.046026811,-0.063053853,0.096158031,0.001856,0.022588811,-0.038916467,0.057336004,-0.023594629,0.005961112,-0.013067061,0.020513632
20100901,0.024459788,-0.015748535,-0.030750995,0.040476413,0.001856,-0.012321148,-0.019441096,0.014490881,-0.011032855,-0.010626714,-0.012734504,0.000961104
20101001,0.117963342,-0.042331074,0.005813051,-0.06766916,0.00206,-0.030849774,0.01825142,-0.037717716,0.008170361,-0.029759988,0.012355507,-0.027911237
20101101,-0.038305737,0.057811573,-0.045457354,0.072613982,0.00206,0.034421492,-0.026608182,0.054405353,0.01063543,-0.002604339,-0.002476258,0.021900404
20101201,-0.010766096,-0.002867847,0.015933473,-0.025305266,0.002263,0.010943183,0.002618673,-0.005078135,0.019988335,-0.025712978,0.007047854,-0.022160218
20110101,-0.025178067,-0.018451459,0.058762888,-0.095805495,0.002263,-0.000875,0.043891773,-0.057943323,-0.004612106,0.005452488,-0.015511425,0.012791824
20110201,0.061241997,0.042174704,-0.025169813,0.040560536,0.002466,0.013093708,0.002196116,0.016079321,-0.055585906,0.03735598,-0.034250331,0.01517361
20110301,-0.005185615,0.015812416,0.028172638,-0.036012585,0.002466,0.018591813,0.022506592,-0.05388357,0.00343852,0.005499749,-0.031174678,0.019520057
20110401,-0.022112529,-0.006863472,0.012105047,-0.046499016,0.002669,-0.001398065,0.017888155,-0.027493974,0.015038556,-0.005785707,-0.011109891,0.012431285
20110501,-0.06978379,-0.001133876,-0.007241954,0.001923932,0.002669,0.009799047,0.001089134,-0.007914032,0.019331593,-0.016770533,0.009571412,-0.008978489
20110601,0.029961039,0.008515149,-0.011989549,0.054817895,0.002669,0.015269704,-0.006524647,0.038754588,-0.008481688,-0.00303029,-0.011886773,-0.001739881
20110701,-0.008060514,0.017849687,-0.054568716,0.012621739,0.002871,0.014329929,-0.047171666,0.003996868,-0.011845318,-0.006601738,-0.009224781,-0.000276492
20110801,-0.053821563,0.021453126,-0.029097022,0.003803348,0.002871,0.020010285,-0.01714151,-0.019696157,0.005956423,-0.02834389,0.003772456,-0.010397779
20110901,-0.097643875,-0.016924476,0.034519302,-0.027388176,0.002871,0.003416548,0.013747903,-0.034011071,0.026454601,0.011049572,-0.005853915,0.016852194
20111001,0.028395086,0.012315703,-0.003224801,-0.016555382,0.002871,0.008427336,-0.004089754,-0.013377329,-0.008002591,0.002026154,0.004488428,-0.006723516
20111101,-0.053769932,0.011165641,-0.03155729,-0.001973057,0.002871,0.010950199,-0.029481768,-0.018857913,-0.003430526,0.011379852,-0.011496296,0.010679647
20111201,-0.095586616,-0.067450137,0.053792568,0.072520037,0.002871,-0.02403239,0.028036379,-0.01360412,0.10783245,-0.057521181,0.064065754,-0.049811638
20120101,0.025466431,-0.042083365,0.033987462,-0.035901609,0.002871,-0.027623495,0.022993743,-0.044609666,0.019251926,0.008384015,0.00504699,0.017730729
20120201,0.079007165,0.044090335,-0.03609041,-0.073905948,0.002871,0.01790075,-0.016431364,-0.044048442,-0.047744549,0.002721802,-0.016531679,-0.005760164
20120301,-0.076929278,0.00690879,-0.003884377,0.043200971,0.002871,0.008879211,-0.000935918,0.034123431,0.013828007,0.005244071,0.004473889,0.005654285
20120401,0.058555507,-0.003145186,0.017193383,-0.049216312,0.002871,-0.017614994,0.039279183,-0.051834253,-0.013562649,-0.016287517,0.008975281,0.006535144
20120501,0.002491337,0.015203585,-0.033243722,-0.007312679,0.002871,0.011169465,-0.018042789,0.015201417,-0.01114816,-0.018329719,0.005396459,-0.012035389
20120601,-0.065063871,0.007527343,-0.021777662,0.055941068,0.002669,0.019481057,-0.024937598,0.038489491,0.024953631,-0.019629217,-0.00150025,0.01142523
20120701,-0.062563104,-0.039405798,0.005698451,0.058039238,0.002466,-0.019190644,0.004512846,0.034836732,0.04106092,-0.03083873,0.024668865,-0.014634555
20120801,-0.02819893,0.072393719,-0.008451345,-0.034586643,0.002466,0.04678242,-0.023875049,-0.031547618,-0.052553198,0.043223993,-0.056707996,0.024500931
20120901,0.02745369,-0.03183115,-0.013356546,-0.008769383,0.002466,-0.013263047,-0.004983887,-0.019115666,0.035308549,-0.037860041,0.021788818,-0.0082748
20121001,-0.010726071,0.019951882,0.010054991,0.005602086,0.002466,0.008447476,0.009790842,-0.008278048,-0.009885841,0.005755656,-0.012635051,0.015951723
20121101,-0.076474239,-0.030049617,0.04770246,0.05164766,0.002466,-0.008894227,0.028897459,0.004986985,0.040075765,-0.005220107,0.01121549,0.00500284
20121201,0.137441207,0.019123314,-0.002959594,-0.042333207,0.002466,0.002313853,-0.006904635,-0.013228049,-0.012587162,-0.007213703,0.022661971,-0.017836036
20130101,0.036694046,0.035879872,-0.010988384,-0.036802086,0.002466,0.009837783,-0.017564676,-0.009165455,-0.049355479,0.026036944,-0.030009301,0.000719023
20130201,0.00763913,0.031887628,-0.020214941,0.026009877,0.002466,0.017330312,-0.014488437,0.012706382,-0.021147878,-0.000071986,-0.013600716,-0.006317516
20130301,-0.044633975,0.025334556,-0.024249156,0.052242059,0.002466,0.018267299,-0.024312578,0.040559232,-0.014295013,0.014208534,-0.024714371,0.015127335
20130401,-0.033265762,-0.000121157,-0.005234792,0.009225132,0.002466,0.000502445,-0.005117909,0.021266944,-0.005857377,-0.014085392,0.002109599,-0.00278433
20130501,0.084659006,0.070948949,-0.033685182,0.023818497,0.002466,0.035134209,-0.033661587,0.0208032,-0.061911628,0.006337279,-0.034720576,-0.000732221
20130601,-0.146490139,-0.001621207,-0.018742588,0.062657938,0.002466,0.014406526,-0.011099286,0.047757116,0.027373556,-0.016593002,-0.006225656,0.003691603
20130701,0.04009571,0.038357926,0.000578604,0.055748763,0.002466,0.035016641,-0.013532745,0.040591325,-0.021917885,0.022347824,-0.035270132,0.018761014
20130801,0.055519241,0.033124294,0.015841168,-0.061634914,0.002466,-0.000514505,0.037421802,-0.064853355,-0.057204652,0.032363619,-0.02239558,0.018032705
20130901,0.042476073,0.009806694,0.002346615,0.07830659,0.002466,0.009481906,-0.000510683,0.036446124,-0.025872001,0.019027274,-0.013700722,0.003890123
20131001,-0.027871841,0.0093418,0.031745843,-0.065106225,0.002466,0.011742622,0.025220229,-0.04176072,0.005969941,0.0093558,-0.005741691,0.010652713
20131101,0.050059035,0.052745477,-0.011581122,0.03703707,0.002466,0.055606062,-0.000850103,0.039657664,-0.034933044,0.0117309,-0.043766803,0.009044096
20131201,-0.042644229,0.007740806,0.012574611,0.008828104,0.002466,0.006788762,0.018198623,0.00015845,0.013311501,-0.013139814,0.012533234,-0.003777754
20140101,-0.018291221,0.071132035,-0.019566683,0.098793354,0.002466,0.058001089,-0.019912484,0.135379347,-0.041083583,0.005319951,-0.046103282,-0.001153574
20140201,0.014719878,0.029810213,0.014239261,-0.031942978,0.002466,0.02193217,0.011870911,-0.01279469,-0.024763042,0.032729005,-0.034649785,0.025752887
20140301,-0.027787932,-0.006173739,0.028938589,-0.084219392,0.002466,-0.007897848,0.028008595,-0.082311865,0.003499915,0.019621573,-0.00040252,0.015841034
20140401,-0.014816316,0.00644726,0.004204595,-0.018597221,0.002466,0.019303281,0.004225199,0.001384205,0.012214199,-0.006686691,-0.000957667,0.001426304
20140501,0.012642708,0.023164635,-0.001558896,0.014203851,0.002466,0.023893215,-0.009216287,0.02086572,-0.028857891,0.010769325,-0.028958224,0.007424446
